given address,elys address,commitment,acount_type,bank
cosmos1kavcntapx83q8kfem7n4l9nal23xt2t8z9xyv3,elys1kavcntapx83q8kfem7n4l9nal23xt2t8z9lrpn,17.61,,0
cosmos1caslezg8v76py2pel0m7lny5cn4qp9ewnvektp,elys1caslezg8v76py2pel0m7lny5cn4qp9ewnvq3xr,17.61,,0
cosmos1xm3glgvdkexjpzussdvps4qqvf2y6jzvkhdqaq,elys1xm3glgvdkexjpzussdvps4qqvf2y6jzvkh58sz,17.61,,0
cosmos1ecnyyep6p3pwkfzpcmf0hrj8ygqfx4t89eht5a,elys1ecnyyep6p3pwkfzpcmf0hrj8ygqfx4t89ewvel,17.61,,0
cosmos1mk04mqqjjy3x3mxwx0dk53jt8rvvehl8lx7jsr,elys1mk04mqqjjy3x3mxwx0dk53jt8rvvehl8lx84ap,17.61,,0
cosmos1ag9zfuu6n7wu6ujdujf843wlqh525g5ta4egqe,elys1ag9zfuu6n7wu6ujdujf843wlqh525g5ta4q0dm,17.61,,0
cosmos1ud94ldd9gw6r0vyl6lk6qqsdm2e8y0w98u7x85,elys1ud94ldd9gw6r0vyl6lk6qqsdm2e8y0w98u8p2k,17.61,,0
cosmos185sej3c36ruy7kaw0027yr7gezhj4zcfxnad0x,elys185sej3c36ruy7kaw0027yr7gezhj4zcfxny2zy,17.61,,0
cosmos1ztkxzqzkm9msx744u3vn22wfwt0929pfx6stzx,elys1ztkxzqzkm9msx744u3vn22wfwt0929pfx6fv0y,17.61,,0
cosmos17uzgw8yxapcfdvt2juxk0ua9nj0tvf2m3z4gy3,elys17uzgw8yxapcfdvt2juxk0ua9nj0tvf2m3zv0fn,17.61,,0
cosmos1mq72jmedaf3skve5q9cnj93hrga9qadzmqd9wd,elys1mq72jmedaf3skve5q9cnj93hrga9qadzmq5zr0,17.61,,0
cosmos1g5hulyfevuzruc2f78dt788cv4sas3uxnvey3w,elys1g5hulyfevuzruc2f78dt788cv4sas3uxnvqruv,17.61,,0
cosmos13pfu9ffkecxp8dk3ewlxmn36e5xau3dvj2j97m,elys13pfu9ffkecxp8dk3ewlxmn36e5xau3dvj2tzne,17.61,,0
