given address,elys address,commitment,acount_type,bank
elys1dmrg4chfkasdpalh8lzxsj0yxv4xq5py4ukhs0,elys1dmrg4chfkasdpalh8lzxsj0yxv4xq5py4ukhs0,372,,0
elys1xzccphkekmnxekr7ddfr4f2mydgx6cadnkpsmh,elys1xzccphkekmnxekr7ddfr4f2mydgx6cadnkpsmh,372,,0
elys14xtscjdd7vue6fz7rk75n0sfjtga5fg2ssmzn6,elys14xtscjdd7vue6fz7rk75n0sfjtga5fg2ssmzn6,372,,0
elys1dfdafjvcx3zjpwrstp9edp677ydlk66ksg4g89,elys1dfdafjvcx3zjpwrstp9edp677ydlk66ksg4g89,372,,0
elys10ypnenqsz9l3ujy77cl5uaetfug4s67elh6mcr,elys10ypnenqsz9l3ujy77cl5uaetfug4s67elh6mcr,372,,0
elys1pj542zfqux96www8g0t9wnsa7j93m4w5fjmm44,elys1pj542zfqux96www8g0t9wnsa7j93m4w5fjmm44,372,,0
elys1qppd6jc6mtnhfa7cge2qqhgxpd0ylrml7neh3n,elys1qppd6jc6mtnhfa7cge2qqhgxpd0ylrml7neh3n,372,,0
elys1cfkfel08mzdtzg4j88mfhf3cdsnztqy9v0deht,elys1cfkfel08mzdtzg4j88mfhf3cdsnztqy9v0deht,372,,0
elys12d4zpmat5w4feuyrsg04lca6tc2lj73geu2pn8,elys12d4zpmat5w4feuyrsg04lca6tc2lj73geu2pn8,372,,0
elys18tzh3xzynkuy7ehwqey34mmff873zye5hupgzh,elys18tzh3xzynkuy7ehwqey34mmff873zye5hupgzh,372,,0
elys1rr0klc2f7f3d8z2hyhq58qw9zrqqlfjp29hcvn,elys1rr0klc2f7f3d8z2hyhq58qw9zrqqlfjp29hcvn,372,,0
elys1rtjuunh937ecur2sf7hw5wa6gfa4myxvsuyvqs,elys1rtjuunh937ecur2sf7hw5wa6gfa4myxvsuyvqs,372,,0
elys12w4ghegg450nv80kqxrlykcgn49sgnjfqgg59d,elys12w4ghegg450nv80kqxrlykcgn49sgnjfqgg59d,372,,0
