given address,elys address,commitment,acount_type,bank
elys1gp957czryfgyvxwn3tfnyy2f0t9g2p4p9d5f8k,elys1gp957czryfgyvxwn3tfnyy2f0t9g2p4p9d5f8k,2148,,0
elys1538pvfym90svseeftvlv54zvys3c9y4hradh80,elys1538pvfym90svseeftvlv54zvys3c9y4hradh80,2148,,0
elys1p8tj37a7v28ky6kd9g4uenv6utavevvev29p6y,elys1p8tj37a7v28ky6kd9g4uenv6utavevvev29p6y,2148,,0
elys174tvh2dty7vsvwn2cfsmkwq8tplqgr5fj77dds,elys174tvh2dty7vsvwn2cfsmkwq8tplqgr5fj77dds,2148,pre-seed,152500.305
elys1n6q3dzwngvzfsf2q4qzhx7segsevafx7v5hk5a,elys1n6q3dzwngvzfsf2q4qzhx7segsevafx7v5hk5a,2148,pre-seed,121999.695
elys14s9t5qupcts0ymu3aec2sty08sm8euvm3adu7u,elys14s9t5qupcts0ymu3aec2sty08sm8euvm3adu7u,2148,,0
elys157s4zn7ugq6sct649phdnmwtac9h6v8xntqnak,elys157s4zn7ugq6sct649phdnmwtac9h6v8xntqnak,2148,,0
elys14rcvw3jma0x8w8qvck24zsvw7ufctf4cq2qwar,elys14rcvw3jma0x8w8qvck24zsvw7ufctf4cq2qwar,2148,,0
elys1xesqr8vjvy34jhu027zd70ypl0nnev5exa37rf,elys1xesqr8vjvy34jhu027zd70ypl0nnev5exa37rf,2148,,0
elys1znp3faxlq6zgk662n4f3t9pyff46cl4lh0vhms,elys1znp3faxlq6zgk662n4f3t9pyff46cl4lh0vhms,2148,,0
elys1uq2vuuggw7xsqdqmlc2t3fr57sudvu5ap0m8xk,elys1uq2vuuggw7xsqdqmlc2t3fr57sudvu5ap0m8xk,2148,,0
elys12z762kemv8un7qv33mjk4pg5n67trk5lhe92xh,elys12z762kemv8un7qv33mjk4pg5n67trk5lhe92xh,2148,,0
elys1lasu44pwplupwudm4l6sp2ha2wvazlufd3t747,elys1lasu44pwplupwudm4l6sp2ha2wvazlufd3t747,2148,,0
elys1gypjjxcwl7t70hjap9s009vq3amh5tun4grem9,elys1gypjjxcwl7t70hjap9s009vq3amh5tun4grem9,2148,,0
elys1q6nmemdmd9a24rm5z6x7e0az7yp6f8lpm9lhc3,elys1q6nmemdmd9a24rm5z6x7e0az7yp6f8lpm9lhc3,2148,,0
elys1jv36dwhxq5yxh206prn6g82wpgcln802t0d02m,elys1jv36dwhxq5yxh206prn6g82wpgcln802t0d02m,2148,,0
elys1slmyrvqwjkqah3vulv72492jy4gewd2d64u3f5,elys1slmyrvqwjkqah3vulv72492jy4gewd2d64u3f5,2148,,0
elys16c26mgp6k7r5l4h8p9n9mnx486rwxftjacyqnd,elys16c26mgp6k7r5l4h8p9n9mnx486rwxftjacyqnd,2148,,0
elys1pqfzpjhj4pen406up4w7p3vx6tk04pzxejqt6h,elys1pqfzpjhj4pen406up4w7p3vx6tk04pzxejqt6h,2148,,0
elys1shz4na0yjc5jkzhlr26sv5zczjahzsmxgkv7t2,elys1shz4na0yjc5jkzhlr26sv5zczjahzsmxgkv7t2,2148,,0
elys1hmcaqxusyl2pdnyn9g4cq6za86xcsx2ndvxvpj,elys1hmcaqxusyl2pdnyn9g4cq6za86xcsx2ndvxvpj,2148,,0
elys1udyzuu9asrr4vhrut8yge887kakxvs7chvtdf2,elys1udyzuu9asrr4vhrut8yge887kakxvs7chvtdf2,2148,,0
elys1v5ulatpvjh4q8q7ztd8ayu6k5cl5qzca8lhnq5,elys1v5ulatpvjh4q8q7ztd8ayu6k5cl5qzca8lhnq5,2148,,0
elys19ue0gasteqkg7nw9ty4wkyeer4g5kn38qntrrj,elys19ue0gasteqkg7nw9ty4wkyeer4g5kn38qntrrj,2148,,0
elys1gt38nlcj3ll3emmmuk690rzwczryxlptcjpevh,elys1gt38nlcj3ll3emmmuk690rzwczryxlptcjpevh,2148,,0
elys17ykmhtrufm3z9lssjarzvms9aeesrqmefgwy9w,elys17ykmhtrufm3z9lssjarzvms9aeesrqmefgwy9w,2148,,0
elys1e4x9y3atxm0g833ccfz63ua470h7fakhx0hsts,elys1e4x9y3atxm0g833ccfz63ua470h7fakhx0hsts,2148,,0
elys1t0m5n2actx6gfcv3swur5jsfeepdakpjfv06sl,elys1t0m5n2actx6gfcv3swur5jsfeepdakpjfv06sl,2148,,0
elys18ym9ke5xpvvhgtrzqu8h5p365cfyc6w8ahaqzr,elys18ym9ke5xpvvhgtrzqu8h5p365cfyc6w8ahaqzr,2148,seed,27000
elys1yt0whdf62s5fry5tpavzfazpm4x5fq0n9ee68g,elys1yt0whdf62s5fry5tpavzfazpm4x5fq0n9ee68g,2148,,0
elys19mk5ka3hhad3fuedm4637d68n2jrvj6gd3g5tj,elys19mk5ka3hhad3fuedm4637d68n2jrvj6gd3g5tj,2148,private-round,124999.875
elys1lct0g907vc5ea6jjg5k8sr3au7sqf6qzxxsm56,elys1lct0g907vc5ea6jjg5k8sr3au7sqf6qzxxsm56,2148,seed,900000
elys1qe8uuf5x69c526h4nzxwv4ltftr73v7qq4a74w,elys1qe8uuf5x69c526h4nzxwv4ltftr73v7qq4a74w,2148,,0
elys1w6phv0xwya5p2sql4qzlh7h2hdeszf4999qh4a,elys1w6phv0xwya5p2sql4qzlh7h2hdeszf4999qh4a,2148,,0
