given address,elys address,commitment,acount_type,bank
stars1002ank668rkk7cc2q9vs4u6p2wptamk8v27f4x,elys1002ank668rkk7cc2q9vs4u6p2wptamk8cksnn4,137.48,,0
stars1002jt69zvk2f7lzq0nj40dsx6wsvaqdyu4xspk,elys1002jt69zvk2f7lzq0nj40dsx6wsvaqdygfg289,137.48,,0
stars1002tn46lg29qk2teuuntnqx732g46c2ydlec3r,elys1002tn46lg29qk2teuuntnqx732g46c2yerhzhs,60.38,,0
stars100357tqx9vepddp2wvrtfaxkkplpk9x5h07esw,elys100357tqx9vepddp2wvrtfaxkkplpk9x5rnsrka,39.85,,0
stars10076cnheuxhuq47ferqa3d4yn3nc885kvfe078,elys10076cnheuxhuq47ferqa3d4yn3nc885kc4h4c5,20.53,,0
stars1007c87tfc4wm7zjw2jdjq7duvtr8g5kn7tgydn,elys1007c87tfc4wm7zjw2jdjq7duvtr8g5kn2hx7tq,137.48,,0
stars1007vx3gxfuh6ppx83jxwzwrnkf5u2satztrtmn,elys1007vx3gxfuh6ppx83jxwzwrnkf5u2satkhd3aq,479.77,,0
stars1008dhp0z0t8nz5wzz5nn4pvzlxcfcd8lv2a72u,elys1008dhp0z0t8nz5wzz5nn4pvzlxcfcd8lcknyv0,40.18,,0
stars1008nw02u0alsl55ye50h2et6l443mjxmdfur9x,elys1008nw02u0alsl55ye50h2et6l443mjxme4jer4,81.33,,0
stars100932p0f7v277673kpxvvj4x0khxfx4703p7ce,elys100932p0f7v277673kpxvvj4x0khxfx47md0y72,137.48,,0
stars100ctj4n0yxyuspyfg9fjrpkrdu6uam3t6awhhf,elys100ctj4n0yxyuspyfg9fjrpkrdu6uam3twpqd36,20.53,,0
stars100d699pl83yrya36una6xkva6k5xunz78r0vqr,elys100d699pl83yrya36una6xkva6k5xunz7nlpkxs,20.53,,0
stars100h92r6psse3xxeaqk6m2ut2sc6cs7sqwmfe7m,elys100h92r6psse3xxeaqk6m2ut2sc6cs7sq688rcg,137.48,,0
stars100jr7pku3at90pw9hcfep9cup3rpddkmjtnkvz,elys100jr7pku3at90pw9hcfep9cup3rpddkmxhav23,280.7,,0
stars100pmw32a2l7kws80dl5v3rqw37m2q32a2z4970,elys100pmw32a2l7kws80dl5v3rqw37m2q32a77mlcu,44.17,,0
stars100r6lax78034gfmgh945xleckwhwthudx76dz2,elys100r6lax78034gfmgh945xleckwhwthudjz5hye,20.53,,0
stars100reemz80jvjek34cfzypamnqphz35dkzzlagn,elys100reemz80jvjek34cfzypamnqphz35dkk738wq,36.83,,0
stars100rqv9h7lj3cgqvsc4vqpcgvc6psxunhsu3nq6,elys100rqv9h7lj3cgqvsc4vqpcgvc6psxunhyqlfxf,137.48,,0
stars100ssqpya8uee47nyd0eh253lh4hsrtvc2a6s7a,elys100ssqpya8uee47nyd0eh253lh4hsrtvc7p52cw,20.53,,0
stars100stkp4dwmdg52ht9z4znln7erg5prl7cnp575,elys100stkp4dwmdg52ht9z4znln7erg5prl7v00wc8,20.53,,0
stars100uxhf3sw7jedaczsm3mw0gvs5c7sfqym3karc,elys100uxhf3sw7jedaczsm3mw0gvs5c7sfqy0dc89t,137.48,,0
stars100wmydus87zg6hu47d5fm4uvr3eygd9gevwder,elys100wmydus87zg6hu47d5fm4uvr3eygd9gdsqhls,418.18,,0
stars1022xs54a6u0nkwhns0ymdn0kskd3ujatxcx4un,elys1022xs54a6u0nkwhns0ymdn0kskd3ujatjyg06q,280.7,,0
stars1023uj4r4srxjpkdwx9gwvmm42l8umxmgtx0qdv,elys1023uj4r4srxjpkdwx9gwvmm42l8umxmgl6p6tl,20.53,,0
stars1023vh045szalefexwche9e5c5uvl3qt9k9lzls,elys1023vh045szalefexwche9e5c5uvl3qt9ze3cer,280.7,,0
stars10255xe23yf9xx7z99wuetk24vvgqhh6m77d5ah,elys10255xe23yf9xx7z99wuetk24vvgqhh6m2zrwmy,20.53,,0
stars1025fxeggz058p3frgc4ra3v6ujswp635mwu89s,elys1025fxeggz058p3frgc4ra3v6ujswp6350jjarr,137.48,,0
stars10282v572qt403g677nrulhmep8qyhkcjjqxlqt,elys10282v572qt403g677nrulhmep8qyhkcjxug9xc,137.48,,0
stars1028qz5v93klc4yqlyh86y4ev304z4yqpjaq9h8,elys1028qz5v93klc4yqlyh86y4ev304z4yqpxpwl35,137.48,,0
stars102gzjnynzuejawsvndrnwl8tqzszyh0alhsk6s,elys102gzjnynzuejawsvndrnwl8tqzszyh0att7vur,137.48,,0
stars102huhhzmevw8anhekddk6jz0vhsre0aww72c9z,elys102huhhzmevw8anhekddk6jz0vhsre0aw6zyzr3,64.7,,0
