given address,elys address,vesting amount,bank,account type,vest start time,vest end time
cosmos13647xwfw6swdkexzn90xjym4erk3qwh3vqurc5,elys13647xwfw6swdkexzn90xjym4erk3qwh3vq9y4k,0,510000,/cosmos.auth.v1beta1.BaseAccount,,
cosmos1yuae8fwjrd5f8zemryun5qglryst9e6tul78dw,elys1yuae8fwjrd5f8zemryun5qglryst9e6tul8qqv,1451801.22,1451801.22,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos1467n8thlt50q9cgud37680673f57e47q9u7s0q,elys1467n8thlt50q9cgud37680673f57e47q9u8hzz,1451800.305,1451800.305,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos1nhe3tnly5yhyykahujcdm4egzhcstypah0p097,elys1nhe3tnly5yhyykahujcdm4egzhcstypah0cggu,610000.305,610000.305,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos1we50lf9sw27w6d33z5mukygdcldyganh8wnzm4,elys1we50lf9sw27w6d33z5mukygdcldyganh8w29kh,408700.305,408700.305,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos1zz7y3wzmxm8ga76n29v278pkvhgvynwt7dah4c,elys1zz7y3wzmxm8ga76n29v278pkvhgvynwt7dysc6,366000,366000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos174tvh2dty7vsvwn2cfsmkwq8tplqgr5fj782qj,elys174tvh2dty7vsvwn2cfsmkwq8tplqgr5fj77dds,152500.305,152500.305,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos1q2cj4dhmhy49p03sdxmpzvdrwf8xkczyp3hty7,elys1q2cj4dhmhy49p03sdxmpzvdrwf8xkczyp3wvfu,121999.695,121999.695,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos160w4jskm5ra8qdhh8w5defx3yzxtlgm53y7y97,elys160w4jskm5ra8qdhh8w5defx3yzxtlgm53y8rgu,121999.695,121999.695,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos136ekw6430ff8ru3jesfjltt8qr4s7j48fkx0yq,elys136ekw6430ff8ru3jesfjltt8qr4s7j48fklgfz,121999.695,121999.695,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
cosmos140ycsxcstxkyfnfjlzya8ncz65u8cschzpgkjc,elys140ycsxcstxkyfnfjlzya8ncz65u8cschzp33l6,121999.695,121999.695,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Mon, 09 Jun 2025 09:30:00 GMT","Thu, 04 Jun 2026 09:30:00 GMT"
