given address,elys address,vesting amount,bank,account type,vest start time,vest end time
cosmos1t6zfdfnudwnlpj67uc68lh8m3s3z7kq09xm9mg,elys1t6zfdfnudwnlpj67uc68lh8m3s3z7kq09xzzk2,954000,954000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1lct0g907vc5ea6jjg5k8sr3au7sqf6qzxxfuec,elys1lct0g907vc5ea6jjg5k8sr3au7sqf6qzxxsm56,900000,900000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1x7xmr63vqw65sy86a720urc6cljqv7t58s2qc0,elys1x7xmr63vqw65sy86a720urc6cljqv7t58sn84d,792000,792000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1azntxcuqny06g5dfyw2fa6sc5zaus9zu4ca784,elys1azntxcuqny06g5dfyw2fa6sc5zaus9zu4cye2h,360000,360000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1v2mq5faxxnfe39hvnj7qyg3qkgcxsys94peymu,elys1v2mq5faxxnfe39hvnj7qyg3qkgcxsys94pqrk7,288000,288000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ve563vu7arv3rzvxuqrj3zu9nmnykef8u5q4ql,elys1ve563vu7arv3rzvxuqrj3zu9nmnykef8u5ejda,180000,180000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ce2cfdt0gqgweqrmlwhsmkvs6jwa5x9a0a55pj,elys1ce2cfdt0gqgweqrmlwhsmkvs6jwa5x9a0adnvs,180000,180000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1yn8lxuz9qpj03d9a3d9648y0k860athv4xtt5l,elys1yn8lxuz9qpj03d9a3d9648y0k860athv4xjvea,180000,180000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1whes85gx3lqx9ylrzdlxasntljnydkjv7x2699,elys1whes85gx3lqx9ylrzdlxasntljnydkjv7xnag8,180000,180000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1kgn23dskkrmamn0qlkc4kpcjd8wtv08gdg6n4z,elys1kgn23dskkrmamn0qlkc4kpcjd8wtv08gdgr5cq,144000,144000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1lfrzqq49rl7z46xve7j9lm5graqn5tcxzacn70,elys1lfrzqq49rl7z46xve7j9lm5graqn5tcxzap5nd,126000,126000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1cx3f73t8vls370esnkjph3qn26x9suvjeh3l6v,elys1cx3f73t8vls370esnkjph3qn26x9suvjehgchw,90000,90000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos14kqr9fjjzl24gwfndf05wkelncm76ynkmmuc8c,elys14kqr9fjjzl24gwfndf05wkelncm76ynkmm9l26,90000,90000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos16tjut7y53ctha579zy5aeuptf5atkucsvu6rwm,elys16tjut7y53ctha579zy5aeuptf5atkucsvuryre,90000,90000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1v2awvh29hah74v8s60hl4zzcyncu46jew67rp3,elys1v2awvh29hah74v8s60hl4zzcyncu46jew68yvn,90000,90000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos10fs0fr595mue27jsw58tn523g55jvnnp08fuqs,elys10fs0fr595mue27jsw58tn523g55jvnnp08smdj,72000,72000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ahdrnhchnp57n48wwc0jcwlcx8fah62xv3xn5u,elys1ahdrnhchnp57n48wwc0jcwlcx8fah62xv3l5e7,54000,54000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1dndu58r29fj39gyugs7d2uzyurc6yc90h0et95,elys1dndu58r29fj39gyugs7d2uzyurc6yc90h0qvgk,54000,54000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ypygpcq84faneh06cw0m3t2qtsyl5nj4pvwt8s,elys1ypygpcq84faneh06cw0m3t2qtsyl5nj4pvhv2j,45000,45000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ev3kufgy264nedktpw0w02smr2z9svc3dkkm4z,elys1ev3kufgy264nedktpw0w02smr2z9svc3dk0ucq,39600,39600,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1n7ct4vue2xzdxvgzd7u9u320zfstmjcqlrfk4h,elys1n7ct4vue2xzdxvgzd7u9u320zfstmjcqlrs3c4,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1srxns795wlhagzkrhua5dv34a6xvrf9t3hjts0,elys1srxns795wlhagzkrhua5dv34a6xvrf9t3htvad,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1hkcy7zldgqp97rckkrmnjslthrkrznj79stwee,elys1hkcy7zldgqp97rckkrmnjslthrkrznj79sjf5m,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1azexjk8ksa9qut2a4cya6nhey8ye3pfwwpz5dz,elys1azexjk8ksa9qut2a4cya6nhey8ye3pfwwpmnqq,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1efgpe6dzjqktt3y92xlrfcqaf0chhn5udu8326,elys1efgpe6dzjqktt3y92xlrfcqaf0chhn5udu7k8c,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1q89zqac2ugk9pfkusw85a5h0s98vmllrx9tu8d,elys1q89zqac2ugk9pfkusw85a5h0s98vmllrx9jm20,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1u0tcygexkuzspjnzwdrflu3dhg39rkpu6dhdv4,elys1u0tcygexkuzspjnzwdrflu3dhg39rkpu6dw2ph,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos10pjsukvgpjexeevdqt53380fm767gtfx3nzgsa,elys10pjsukvgpjexeevdqt53380fm767gtfx3nm0al,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1lmqs6gvrrnapr3xzuwty584arvx25xygcphg2h,elys1lmqs6gvrrnapr3xzuwty584arvx25xygcpw084,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ytp2crrax2p7ma372my0suzxcwtyp2fa9zzw5s,elys1ytp2crrax2p7ma372my0suzxcwtyp2fa9zmfej,36000,36000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos18uqc0e9dy0emtmuyxefdfcmt8vhnk9xvp8pp47,elys18uqc0e9dy0emtmuyxefdfcmt8vhnk9xvp8cxcu,27000,27000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos18ym9ke5xpvvhgtrzqu8h5p365cfyc6w8ahy80p,elys18ym9ke5xpvvhgtrzqu8h5p365cfyc6w8ahaqzr,27000,27000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1udrxg0emmrcdtdvvh0727z05a26ppuenafkau5,elys1udrxg0emmrcdtdvvh0727z05a26ppuenaf063k,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1twh6302lzcvn7lr3x0fjwfkgryn9ac5ce5n0yv,elys1twh6302lzcvn7lr3x0fjwfkgryn9ac5ce52gfw,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos18qtxhdm3s5rxeau2ddwact6wczv984zseu9zsj,elys18qtxhdm3s5rxeau2ddwact6wczv984zseuu9as,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos18lclxxjghhfum9tj5xyy3gg3yguypj8xveryn2,elys18lclxxjghhfum9tj5xyy3gg3yguypj8xve6r7g,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1chn7mkkfx57hawxp7yfk642xjh69c8uqnfttfz,elys1chn7mkkfx57hawxp7yfk642xjh69c8uqnfjvyq,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ggftlp28yrw4rj3ur4endwsyusua46tln99rpu,elys1ggftlp28yrw4rj3ur4endwsyusua46tln9uyv7,18000,18000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1sxqtdzr2wuefprez9fk2grtvru7h3zz4pmr7c3,elys1sxqtdzr2wuefprez9fk2grtvru7h3zz4pm6e4n,9000,9000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos15yhtdym3c8gkkwf37yl4nrvmv9qw2pa458xzzd,elys15yhtdym3c8gkkwf37yl4nrvmv9qw2pa458l900,9000,9000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1ma283m5aw5g9hec4ucfsy08qze6uj2ffrse00n,elys1ma283m5aw5g9hec4ucfsy08qze6uj2ffrsqgz3,9000,9000,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos17s34wcwss4hwkh4dgn95cvwlzgdpcf7msrj3l3,elys17s34wcwss4hwkh4dgn95cvwlzgdpcf7msrtkjn,7200,7200,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos10w4mcmmpkz87rc40ctgl4cysjeyh63fcaqt0l8,elys10w4mcmmpkz87rc40ctgl4cysjeyh63fcaqjgj9,3600,3600,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos15czavm0x27r0gj4kypsvc3e0venj7gmvj3pz0j,elys15czavm0x27r0gj4kypsvc3e0venj7gmvj3c9zs,1800,1800,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
cosmos1gefdqpj2m24aunhadazufqd6ex5ts9uydgdqqf,elys1gefdqpj2m24aunhadazufqd6ex5ts9uydg58dt,289800,1289800,/cosmos.vesting.v1beta1.ContinuousVestingAccount,"Sat, 10 May 2025 09:30:00 GMT","Tue, 05 May 2026 09:30:00 GMT"
